CustomerID,Recency,Frequency,Monetary,TotalQuantity,ProductDiversity,TransactionCount,AverageOrderValue,BasketSize
12346,326,1,77183.6,74215,1,1,77183.6,74215.0
12347,2,7,4310.0,2458,103,182,615.71,351.14
12348,75,4,1797.24,2341,22,31,449.31,585.25
12349,19,1,1757.55,631,73,73,1757.55,631.0
12350,310,1,334.40000000000003,197,17,17,334.4,197.0
12352,36,8,2506.04,536,59,85,313.26,67.0
12353,204,1,89.0,20,4,4,89.0,20.0
12354,232,1,1079.4,530,58,58,1079.4,530.0
12355,214,1,459.40000000000003,240,13,13,459.4,240.0
12356,23,3,2811.43,1591,53,59,937.14,530.33
12357,33,1,6207.67,2708,131,131,6207.67,2708.0
12358,2,2,1168.06,248,13,19,584.03,124.0
12359,58,4,6310.03,1609,214,245,1577.51,402.25
12360,52,3,2662.06,1165,105,129,887.35,388.33
12361,287,1,189.9,91,10,10,189.9,91.0
12362,3,10,5226.2300000000005,2229,201,266,522.62,222.9
12363,110,2,552.0,408,23,23,276.0,204.0
12364,8,4,1313.1,1506,70,85,328.28,376.5
12365,291,2,641.38,174,22,22,320.69,87.0
12367,4,1,168.9,173,11,11,168.9,173.0
12370,51,4,3541.94,2352,143,166,885.48,588.0
12371,45,2,1887.96,591,63,63,943.98,295.5
12372,72,3,1298.04,794,34,52,432.68,264.67
12373,311,1,364.6,197,14,14,364.6,197.0
12374,25,1,742.9300000000001,342,33,33,742.93,342.0
12375,11,2,457.5,178,14,17,228.75,89.0
12377,315,2,1628.1200000000001,944,72,77,814.06,472.0
12378,130,1,4008.62,2529,219,219,4008.62,2529.0
12379,82,2,852.24,407,39,40,426.12,203.5
12380,22,4,2724.81,1127,77,104,681.2,281.75
12381,5,5,1845.31,808,70,87,369.06,161.6
12383,185,5,1850.56,1532,84,99,370.11,306.4
12384,29,2,585.27,126,26,27,292.64,63.0
12386,338,2,401.9,354,10,10,200.95,177.0
12388,16,6,2780.6600000000003,1462,57,100,463.44,243.67
12390,80,1,549.84,353,32,32,549.84,353.0
12391,22,1,439.66,293,92,93,439.66,293.0
12393,72,4,1582.6000000000001,816,47,64,395.65,204.0
12394,64,2,1272.48,819,26,27,636.24,409.5
12395,19,12,3018.63,2118,91,156,251.55,176.5
12397,36,2,2409.9,1263,110,126,1204.95,631.5
12398,46,1,1635.6599999999999,1394,85,85,1635.66,1394.0
