Model,Group_Number,Business_Segment,Customer_Count,Total_Monetary,Customer_Percentage,Monetary_Contribution_Percentage
K-Means K=5,0,Dormant Occasional Customers,661,239320.18,15.237436606731213,2.692860974175724
K-Means K=5,1,Active Regular Customers,1454,904586.013,33.51775011526048,10.178516379993173
K-Means K=5,2,High-Value Loyal Customers,993,6192568.29,22.89073305670816,69.67956265977695
K-Means K=5,3,Low-Value Infrequent Customers,520,85841.85,11.9870908252651,0.9659033676810974
K-Means K=5,4,High-Value Large-Order Buyers,710,1464892.561,16.366989396035038,16.48315661837306
GMM C5 Spherical,0,Dormant Occasional Customers,528,193797.81,12.171507607192254,2.180637501733961
GMM C5 Spherical,1,Active Regular Customers,1608,1007713.483,37.06777316735823,11.33891973305967
GMM C5 Spherical,2,High-Value Loyal Customers,1017,2946930.55,23.443983402489625,33.15923576399283
GMM C5 Spherical,3,Low-Value Infrequent Customers,691,142011.61000000002,15.928999538958044,1.597932620846529
GMM C5 Spherical,4,Elite High-Value Customers,494,4596755.441,11.387736284001845,51.723274380367
