K,Cluster,Recency,Frequency,Monetary,AverageOrderValue,BasketSize,ProductDiversity,TotalQuantity
2,0,48.76,6.53,3578.36,599.85,373.9,96.82,2090.27
2,1,141.71,1.73,330.33,212.96,116.04,21.82,173.68
3,0,177.48,1.58,214.27,149.7,67.69,13.71,95.02
3,1,89.11,2.34,660.15,334.93,205.49,40.09,391.11
3,2,34.83,9.25,5554.08,744.14,462.07,130.02,3228.41
4,0,36.53,9.41,5930.82,797.16,495.0,133.05,3454.79
4,1,48.37,2.93,741.18,296.36,182.19,46.73,432.88
4,2,256.51,1.41,474.35,364.12,210.4,24.95,266.56
4,3,138.25,1.6,186.51,123.31,54.17,11.56,80.17
5,0,260.67,1.41,362.06,276.17,148.88,21.34,190.59
5,1,47.6,2.8,622.14,243.52,142.73,42.11,351.62
5,2,23.84,11.3,6236.22,475.05,280.91,147.31,3590.29
5,3,138.1,1.54,165.08,114.49,44.94,9.27,63.85
5,4,90.75,2.13,2063.23,1047.68,685.82,56.84,1290.72
