K,Cluster,Recency,Frequency,Monetary,AverageOrderValue,BasketSize,ProductDiversity,TotalQuantity
2,0,27.0,4.0,1555.34,387.08,241.5,70.0,919.0
2,1,110.0,1.0,294.12,182.98,96.0,17.0,150.0
3,0,184.0,1.0,175.2,133.56,63.5,10.0,84.0
3,1,57.0,2.0,592.97,298.21,167.0,32.0,330.0
3,2,19.0,6.0,2612.36,430.61,267.88,99.0,1566.0
4,0,20.0,6.0,2780.65,460.74,284.06,101.0,1674.0
4,1,37.0,2.0,654.67,264.88,153.0,37.0,368.0
4,2,256.5,1.0,358.47,308.4,155.5,20.0,196.5
4,3,119.0,1.0,149.05,114.0,49.0,8.0,70.0
5,0,262.0,1.0,311.55,251.8,128.0,17.0,156.0
5,1,35.0,2.0,550.55,228.05,131.92,33.0,294.0
5,2,15.0,8.0,2888.55,376.07,231.75,113.0,1747.0
5,3,113.0,1.0,128.56,106.38,41.0,7.0,54.5
5,4,71.0,2.0,1160.78,600.08,382.0,46.0,743.5
