K,Cluster,Customer_Count,Mean_Silhouette,Median_Silhouette,Minimum_Silhouette,Maximum_Silhouette,Standard_Deviation,Negative_Silhouette_Customers,Negative_Silhouette_Percentage
2,0,2295,0.3539,0.3822,0.0054,0.5499,0.1433,0,0.0
2,1,2043,0.2951,0.3269,-0.049,0.5075,0.1414,49,2.3984
3,0,979,0.218,0.2387,-0.0822,0.4472,0.1409,84,8.5802
3,1,2039,0.2497,0.2483,0.0018,0.472,0.1152,0,0.0
3,2,1320,0.2718,0.3009,-0.0285,0.4837,0.1421,23,1.7424
4,0,1204,0.2334,0.2589,-0.0866,0.4596,0.1474,112,9.3023
4,1,1741,0.2839,0.2894,0.0312,0.5132,0.1178,0,0.0
4,2,682,0.2607,0.2679,-0.0412,0.508,0.1459,27,3.9589
4,3,711,0.1986,0.2144,-0.0865,0.4533,0.1485,95,13.3615
5,0,661,0.2991,0.3149,-0.0219,0.538,0.1461,5,0.7564
5,1,1454,0.2822,0.2898,0.0106,0.5343,0.1281,0,0.0
5,2,993,0.2828,0.2951,-0.0122,0.5223,0.1448,13,1.3092
5,3,520,0.1726,0.1729,-0.1356,0.4416,0.1472,83,15.9615
5,4,710,0.1566,0.1456,-0.0617,0.4279,0.1305,104,14.6479
